Country,Category,Marketplace,Tier,Ranking,Brand,Total Number of ASINs,No. of ASINs in BSR (Top 100),No. of ASIN in BSR (Top 10),AVR Price,Est. Volume,Market Share (volume),Estimated Revenue,Market Share,Keyword Coverage (Organic),Keyword Coverage (Paid),Total Review Count,Average Rating,Average Review Velocity,forecast_competition_intensity_category__market__competition_width_value,forecast_competition_intensity_category__market__concentrated_value,forecast_competition_intensity_category__market__number_sellers_value,forecast_competition_intensity_category__market__organic_competition_value,forecast_competition_intensity_category__market__paid_competition_value,forecast_competition_intensity_category__market__paid_entry_value,forecast_competition_intensity_category__market__buy_box_win_rate_value,forecast_competition_intensity_brand__market__authorized_value,forecast_competition_intensity_brand__market__unauthorized_value,forecast_competition_intensity_brand__market__keyword_value,forecast_competition_intensity_brand__market__organic_share_of_value,forecast_competition_intensity_brand__market__paid_share_of_value,forecast_retail_readiness_content__market__images_text_value,forecast_retail_readiness_content__market__reviews_average_value,forecast_retail_readiness_content__market__reviews_average_rating_score_value,forecast_retail_readiness_content__market__new_reviews_value,forecast_retail_readiness_rich_content__market__a_page_value,forecast_retail_readiness_rich_content__market__price_value,forecast_retail_readiness_rich_content__market__seller_rank_value,forecast_retail_readiness_rich_content__market__product_range_value
United States,Apparel,amazon,1,1,Levis,1385,48,5,43.29159764,94814,0.42794,3835749.279,0.50029,0.89796,0.42857,2322195,4.49466528,899,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,1,2,Wrangler,1414,9,,37.82141448,53289,0.24052,1854506.086,0.24188,0.85714,0.44898,1717018,4.491793323,177,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,1,3,Rustler,139,36,5,15.77914373,32431,0.14638,499763.9948,0.06518,0.77551,,289900,4.5,0,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,1,4,Lee,714,2,,37.99751546,12904,0.05824,507526.2224,0.0662,0.73469,0.30612,285175,4.572548442,359,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,1,5,Amazon Essentials,338,1,,19.69235678,4742,0.0214,97678.19964,0.01274,0.81633,,434229,4.248414837,619,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,2,6,Ariat,49,0,,67.99478673,2730,0.01232,177313.5,0.02313,0.44898,,22974,4.539214792,46,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,2,7,Jmierr,52,0,,27.09531746,2511,0.01133,67561.92984,0.00881,0.40816,0.10204,2817,4.338292842,547,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,2,8,Luminblaze,6,2,,28.60165049,1451,0.00655,41147.20852,0.00537,0.18367,,943,4.32,92,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,2,9,Dfgigt,37,0,,34.61739362,1352,0.0061,46454.16496,0.00606,0.14286,,8355,4.44470805,185,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,2,10,Dickies,23,0,,36.89563636,1195,0.00539,41830.76,0.00546,0.12245,0.04082,143100,4.431818182,0,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,3,11,Hungson,33,0,,33.64561798,1182,0.00533,41049.12393,0.00535,0.20408,0.22449,19193,4.274621212,86,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,3,12,Gap,52,0,,29.3457772,1022,0.00461,27577.22326,0.0036,0.4898,,7896,4.368182939,28,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,3,13,Carhartt,80,0,,54.30600529,997,0.0045,48859.90273,0.00637,0.2449,0.02041,40549,4.398957122,37,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,3,14,Junbaoss,30,0,,33.55556561,983,0.00444,33494.17,0.00437,0.28571,0.14286,13977,4.473333333,81,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,3,15,Lucky Brand,56,0,,67.95949275,958,0.00432,59776.55532,0.0078,0.42857,0.16327,30068,4.498076923,57,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,4,16,Quiksilver,15,1,,30.93847826,778,0.00351,24015.88022,0.00313,0.22449,0.06122,1215,4.4,234,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,4,17,Gingtto,32,0,,35.24,771,0.00348,27277.0272,0.00356,0.14286,0.32653,29769,4.464479167,1,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,4,18,Heyfanee,26,0,,33.06692308,757,0.00342,25056.43,0.00327,0.18367,0.30612,5442,4.319688228,64,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,4,19,Caonat,6,0,,35.01,730,0.00329,25557.3,0.00333,0.04082,,184,4.437417582,57,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,4,20,Dockers,3,1,,35.07909091,722,0.00326,28872.78,0.00377,0.02041,,1300,4.5,0,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,5,21,Soojun,11,0,,31.57064516,664,0.003,21241.36,0.00277,0.08163,0.10204,10496,4.4,0,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,5,22,Wulful,9,0,,18.03613333,534,0.00241,10229.53114,0.00133,0.20408,0.04082,8700,4.4,0,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,5,23,Urban Star,15,0,,31.95,448,0.00202,14313.6,0.00187,0.12245,0.20408,31512,4.5,0,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,5,24,Flypaper,8,0,,34.99,344,0.00155,12036.56,0.00157,0.08163,0.08163,1700,4.4,0,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,5,25,Fredd Marshall,11,0,,22.27125,341,0.00154,7812.30465,0.00102,0.12245,,10815,4.309090909,0,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,6,26,Qgrswbc,19,0,,33.76836066,338,0.00153,10293.93016,0.00134,0.04082,,2096,4.356959707,85,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,6,27,Oiiio,9,0,,32.28767442,330,0.00149,10873.5,0.00142,0.18367,,3300,4.523611111,0,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,6,28,Voeeron,4,0,,29.24,314,0.00142,9137.61,0.00119,0.06122,0.02041,1600,4.4,0,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,6,29,Yeou,4,0,,27.92227273,228,0.00103,6143.78091,0.0008,0.14286,,1755,4.4,17,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,6,30,Rock & Republic,15,0,,25.36031915,198,0.00089,4856.94,0.00063,0.2449,,5931,4.546666667,25,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,7,31,Aititia,8,0,,30.774125,186,0.00084,5937.65103,0.00077,0.18367,,13657,4.375,6,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,7,32,Full Blue,1,0,,19.99,176,0.00079,3518.24,0.00046,,0.06122,1100,3.9,0,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,7,33,Calvin Klein,187,0,,44.18810273,160,0.00072,5068.57375,0.00066,0.32653,0.02041,16936,4.528914104,693,145,2,159,2,4,1.04,0.83625731,1,16,64,14.70376484,2.039913076,8.536666667,645.5257143,4.534285714,693,7.2,18.00533951,0,5.8
United States,Apparel,amazon,7,34,Qcdyrxf,13,0,,24.03,140,0.00063,3918.6,0.00051,0.16327,,856,4.351957071,37,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,7,35,Allabreve,1,0,,35.99,93,0.00042,3347.07,0.00044,,0.02041,83,4.2,0,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,8,36,Buffalo David Bitton,27,0,,63.57864078,90,0.00041,5613.3,0.00073,0.2449,0.12245,9667,4.277777778,3,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,8,37,Comdecevis,2,0,,29.30333333,89,0.0004,2521.69396,0.00033,0.04082,0.02041,70,4.29375,17,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,8,38,Hber,1,0,,36.615,83,0.00037,3007.92,0.00039,0.02041,,346,4.3,5,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,8,39,Jemldl,5,0,,20.46058824,82,0.00037,1639.18,0.00021,0.08163,0.02041,230,4.5,1,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,8,40,Kengue,1,0,,30.99,80,0.00036,2479.2,0.00032,0.06122,,862,4.256,13,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,9,41,Logeqi,5,0,,34.79,67,0.0003,2277.33,0.0003,0.02041,,958,4.3975,15,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,9,42,Qimyum,9,0,,24.11222222,66,0.0003,2177.34,0.00028,0.14286,0.14286,5443,4.322222222,0,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,9,43,True Classic,5,0,,79.99,64,0.00029,5119.36,0.00067,0.12245,0.36735,763,4.3,115,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,9,44,Tiranger C,1,0,,22.97,64,0.00029,1470.08,0.00019,0.14286,,416,4.542,9,,,,,,,,,,,,,,,,,,,,
United States,Apparel,amazon,9,45,Wiyyapo,2,0,,14.99,61,0.00028,914.39,0.00012,0.04082,,234,4.266666667,8,,,,,,,,,,,,,,,,,,,,
